Latitude,Longitude,Address,Website
38.918696,-77.035978,2101 16th St Nw,
38.9342,-77.0722,3333 Wisconsin Ave Nw,
38.9093,-77.0232,800 P St NW,
38.906547,-77.034375,1499 Massachusetts Ave NW,
38.905762,-77.029937,1301 M St NW,
38.907032,-77.028475,1200 N St NW,
38.908538,-77.029805,1306 O St NW Apt LL1,
38.910007,-77.034218,1515 15th St NW Apt 231,
38.909615,-77.023126,800 P St NW Unit E616,
38.909615,-77.023126,800 P St NW Unit E617,
38.909615,-77.023126,800 P St NW Unit E936,
38.909615,-77.023126,800 P St NW Unit E937,
38.900411,-77.016821,425 Massachusetts Ave Nw,
38.920455,-77.031519,2303 14th St Nw,
